样本,角度,丰富_单一,华丽_朴素,静态_动态,柔和_强烈,喜欢_厌恶
样本1,0,1.2,1.0,1.5,0.8,1.3
样本1,10,1.1,0.9,1.4,0.7,1.2
样本1,20,1.0,0.8,1.3,0.6,1.1
样本1,30,0.9,0.7,1.2,0.5,1.0
样本1,40,0.8,0.6,1.1,0.4,0.9
样本1,50,0.7,0.5,1.0,0.3,0.8
样本1,60,0.6,0.4,0.9,0.2,0.7
样本1,70,0.5,0.3,0.8,0.1,0.6
样本1,80,0.4,0.2,0.7,0.0,0.5
样本1,90,0.3,0.1,0.6,-0.1,0.4
样本1,100,0.2,0.0,0.5,-0.2,0.3
样本1,110,0.1,-0.1,0.4,-0.3,0.2
样本1,120,0.0,-0.2,0.3,-0.4,0.1
样本1,130,-0.1,-0.3,0.2,-0.5,0.0
样本1,140,-0.2,-0.4,0.1,-0.6,-0.1
样本1,150,-0.3,-0.5,0.0,-0.7,-0.2
样本1,160,-0.4,-0.6,-0.1,-0.8,-0.3
样本1,170,-0.5,-0.7,-0.2,-0.9,-0.4
样本1,180,-0.6,-0.8,-0.3,-1.0,-0.5
样本2,0,0.8,0.6,1.2,0.5,1.0
样本2,10,0.7,0.5,1.1,0.4,0.9
样本2,20,0.6,0.4,1.0,0.3,0.8
样本2,30,0.5,0.3,0.9,0.2,0.7
样本2,40,0.4,0.2,0.8,0.1,0.6
样本2,50,0.3,0.1,0.7,0.0,0.5
样本2,60,0.2,0.0,0.6,-0.1,0.4
样本2,70,0.1,-0.1,0.5,-0.2,0.3
样本2,80,0.0,-0.2,0.4,-0.3,0.2
样本2,90,-0.1,-0.3,0.3,-0.4,0.1
样本2,100,-0.2,-0.4,0.2,-0.5,0.0
样本2,110,-0.3,-0.5,0.1,-0.6,-0.1
样本2,120,-0.4,-0.6,0.0,-0.7,-0.2
样本2,130,-0.5,-0.7,-0.1,-0.8,-0.3
样本2,140,-0.6,-0.8,-0.2,-0.9,-0.4
样本2,150,-0.7,-0.9,-0.3,-1.0,-0.5
样本2,160,-0.8,-1.0,-0.4,-1.1,-0.6
样本2,170,-0.9,-1.1,-0.5,-1.2,-0.7
样本2,180,-1.0,-1.2,-0.5,-1.3,-0.8
样本3,0,1.5,1.3,1.8,1.0,1.6
样本3,10,1.4,1.2,1.7,0.9,1.5
样本3,20,1.3,1.1,1.6,0.8,1.4
样本3,30,1.2,1.0,1.5,0.7,1.3
样本3,40,1.1,0.9,1.4,0.6,1.2
样本3,50,1.0,0.8,1.3,0.5,1.1
样本3,60,0.9,0.7,1.2,0.4,1.0
样本3,70,0.8,0.6,1.1,0.3,0.9
样本3,80,0.7,0.5,1.0,0.2,0.8
样本3,90,0.6,0.4,0.9,0.1,0.7
样本3,100,0.5,0.3,0.8,0.0,0.6
样本3,110,0.4,0.2,0.7,-0.1,0.5
样本3,120,0.3,0.1,0.6,-0.2,0.4
样本3,130,0.2,0.0,0.5,-0.3,0.3
样本3,140,0.1,-0.1,0.4,-0.4,0.2
样本3,150,0.0,-0.2,0.3,-0.5,0.1
样本3,160,-0.1,-0.3,0.2,-0.6,0.0
样本3,170,-0.2,-0.4,0.1,-0.7,-0.1
样本3,180,-0.3,-0.5,0.0,-0.8,-0.2
样本4,0,0.5,0.3,0.8,0.2,0.6
样本4,10,0.4,0.2,0.7,0.1,0.5
样本4,20,0.3,0.1,0.6,0.0,0.4
样本4,30,0.2,0.0,0.5,-0.1,0.3
样本4,40,0.1,-0.1,0.4,-0.2,0.2
样本4,50,0.0,-0.2,0.3,-0.3,0.1
样本4,60,-0.1,-0.3,0.2,-0.4,0.0
样本4,70,-0.2,-0.4,0.1,-0.5,-0.1
样本4,80,-0.3,-0.5,0.0,-0.6,-0.2
样本4,90,-0.4,-0.6,-0.1,-0.7,-0.3
样本4,100,-0.5,-0.7,-0.2,-0.8,-0.4
样本4,110,-0.6,-0.8,-0.3,-0.9,-0.5
样本4,120,-0.7,-0.9,-0.4,-1.0,-0.6
样本4,130,-0.8,-1.0,-0.5,-1.1,-0.7
样本4,140,-0.9,-1.1,-0.6,-1.2,-0.8
样本4,150,-1.0,-1.2,-0.7,-1.3,-0.9
样本4,160,-1.1,-1.3,-0.8,-1.4,-1.0
样本4,170,-1.2,-1.4,-0.9,-1.5,-1.1
样本4,180,-1.3,-1.5,-0.9,-1.6,-1.2
样本5,0,1.0,0.8,1.5,0.6,1.2
样本5,10,0.9,0.7,1.4,0.5,1.1
样本5,20,0.8,0.6,1.3,0.4,1.0
样本5,30,0.7,0.5,1.2,0.3,0.9
样本5,40,0.6,0.4,1.1,0.2,0.8
样本5,50,0.5,0.3,1.0,0.1,0.7
样本5,60,0.0,-0.2,0.5,-0.4,0.2
样本5,70,-0.5,-0.7,0.0,-0.9,-0.3
样本5,80,-2.0,-2.2,-1.5,-2.5,-2.3
样本5,90,-2.0,-2.3,-1.6,-2.6,-2.4
样本5,100,-1.8,-2.0,-1.3,-2.3,-2.1
样本5,110,-1.5,-1.8,-1.0,-2.0,-1.8
样本5,120,-1.0,-1.3,-0.5,-1.5,-1.3
样本5,130,-0.5,-0.8,0.0,-1.0,-0.8
样本5,140,0.0,-0.3,0.5,-0.5,-0.3
样本5,150,0.5,0.2,1.0,0.0,0.2
样本5,160,0.8,0.5,1.3,0.3,0.5
样本5,170,1.0,0.8,1.5,0.6,0.8
样本5,180,1.2,1.0,1.8,0.8,1.0
